year,month,country,IFI
2020,4,Colombia,0.581206929
2020,5,Colombia,0.582562323
2020,6,Colombia,0.581524667
2020,7,Colombia,0.583584593
2020,8,Colombia,0.581167253
2020,9,Colombia,0.579820357
2020,10,Colombia,0.577603914
2020,11,Colombia,0.579433391
2020,12,Colombia,0.578127862
2021,1,Colombia,0.55387814
2021,2,Colombia,0.552688737
2021,3,Colombia,0.552339904
2021,4,Colombia,0.574471575
2021,5,Colombia,0.572830337
2021,6,Colombia,0.573185514
2021,7,Colombia,0.600867666
2021,8,Colombia,0.598801559
2021,9,Colombia,0.597801262
2021,10,Colombia,0.603283422
2021,11,Colombia,0.611131562
2021,12,Colombia,0.611490823
2022,1,Colombia,0.62846722
2022,2,Colombia,0.627588907
2022,3,Colombia,0.625772935
2022,4,Colombia,0.619895749
2022,5,Colombia,0.618147022
2022,6,Colombia,0.618089786
2022,7,Colombia,0.537472342
2022,8,Colombia,0.536149637
2022,9,Colombia,0.535537926
2022,10,Colombia,0.553718806
2022,11,Colombia,0.420060691
2022,12,Colombia,0.553477495
2023,1,Colombia,0.584005036
2023,2,Colombia,0.582577604
2023,3,Colombia,0.580536729
2023,4,Colombia,0.586443767
2023,5,Colombia,0.583691656
2023,6,Colombia,0.588790103
2023,7,Colombia,0.605602508
2023,8,Colombia,0.603703668
2023,9,Colombia,0.60293559
2023,10,Colombia,0.679487911
2023,11,Colombia,0.462950246
2023,12,Colombia,0.461985087
2024,1,Colombia,0.514643923
2024,2,Colombia,0.514380075
2024,3,Colombia,0.513136707
2024,4,Colombia,0.51375279
2024,5,Colombia,0.513588663
2024,6,Colombia,0.516609694
2024,7,Colombia,0.521197159
2024,8,Colombia,0.520820592
2024,9,Colombia,0.520711224
2024,10,Colombia,0.523326569
2024,11,Colombia,0.527690941
2024,12,Colombia,0.52900098
2014,1,Mexico,0.084002983
2014,2,Mexico,0.09141845
2014,3,Mexico,0.132173814
2014,4,Mexico,0.141096161
2014,5,Mexico,0.016994665
2014,6,Mexico,0.076277153
2014,7,Mexico,0.058954698
2014,8,Mexico,0.065085989
2014,9,Mexico,0.060790829
2014,10,Mexico,0.075300936
2014,11,Mexico,0.089195613
2014,12,Mexico,0.099034338
2015,1,Mexico,0.08280389
2015,2,Mexico,0.192829457
2015,3,Mexico,0.109072344
2015,4,Mexico,0.12148022
2015,5,Mexico,0.13544138
2015,6,Mexico,0.227779599
2015,7,Mexico,0.159749905
2015,8,Mexico,0.177436325
2015,9,Mexico,0.282534389
2015,10,Mexico,0.300724029
2015,11,Mexico,0.205408504
2015,12,Mexico,0.214764473
2016,1,Mexico,0.22259437
2016,2,Mexico,0.227010745
2016,3,Mexico,0.243510545
2016,4,Mexico,0.267513913
2016,5,Mexico,0.371230964
2016,6,Mexico,0.277895747
2016,7,Mexico,0.281406056
2016,8,Mexico,0.296095379
2016,9,Mexico,0.235428665
2016,10,Mexico,0.232283122
2016,11,Mexico,0.254629357
2016,12,Mexico,0.244299273
2017,1,Mexico,0.270318693
2017,2,Mexico,0.277525608
2017,3,Mexico,0.274694628
2017,4,Mexico,0.280074409
2017,5,Mexico,0.278461002
2017,6,Mexico,0.208724492
2017,7,Mexico,0.229320917
2017,8,Mexico,0.235994013
2017,9,Mexico,0.242629014
2017,10,Mexico,0.249809473
2017,11,Mexico,0.258294032
2017,12,Mexico,0.253100407
2018,1,Mexico,0.262721358
2018,2,Mexico,0.283139364
2018,3,Mexico,0.280488803
2018,4,Mexico,0.289789049
2018,5,Mexico,0.314183839
2018,6,Mexico,0.31252119
2018,7,Mexico,0.266470092
2018,8,Mexico,0.304130777
2018,9,Mexico,0.295247818
2018,10,Mexico,0.313370639
2018,11,Mexico,0.323108403
2018,12,Mexico,0.326838214
2019,1,Mexico,0.327133108
2019,2,Mexico,0.329945257
2019,3,Mexico,0.305404417
2019,4,Mexico,0.337656858
2019,5,Mexico,0.36803996
2019,6,Mexico,0.376546117
2019,7,Mexico,0.410400532
2019,8,Mexico,0.418923433
2019,9,Mexico,0.397625347
2019,10,Mexico,0.414573392
2019,11,Mexico,0.426678545
2019,12,Mexico,0.409573363
2020,1,Mexico,0.459873613
2020,2,Mexico,0.413332118
2020,3,Mexico,0.443287805
2020,4,Mexico,0.524806638
2020,5,Mexico,0.531717873
2020,6,Mexico,0.522199731
2020,7,Mexico,0.536203236
2020,8,Mexico,0.531532704
2020,9,Mexico,0.503673702
2020,10,Mexico,0.472850606
2020,11,Mexico,0.484631312
2020,12,Mexico,0.524020522
2021,1,Mexico,0.480632474
2021,2,Mexico,0.456354026
2021,3,Mexico,0.481237015
2021,4,Mexico,0.482260646
2021,5,Mexico,0.497287039
2021,6,Mexico,0.451541297
2021,7,Mexico,0.446429933
2021,8,Mexico,0.461969989
2021,9,Mexico,0.463522154
2021,10,Mexico,0.470679013
2021,11,Mexico,0.522966613
2021,12,Mexico,0.547413249
2022,1,Mexico,0.556414804
2022,2,Mexico,0.564358863
2022,3,Mexico,0.578624299
2022,4,Mexico,0.588922673
2022,5,Mexico,0.736295421
2022,6,Mexico,0.511500578
2022,7,Mexico,0.580991396
2022,8,Mexico,0.589852629
2022,9,Mexico,0.59466934
2022,10,Mexico,0.603849047
2022,11,Mexico,0.612655579
2022,12,Mexico,0.621882353
2023,1,Mexico,0.630994848
2023,2,Mexico,0.61738133
2023,3,Mexico,0.626352837
2023,4,Mexico,0.561227167
2023,5,Mexico,0.604963236
2023,6,Mexico,0.586180892
2023,7,Mexico,0.582130241
2023,8,Mexico,0.56869166
2023,9,Mexico,0.603200671
2023,10,Mexico,0.605090818
2023,11,Mexico,0.642604882
2023,12,Mexico,0.605730062
2024,1,Mexico,0.61773746
2024,2,Mexico,0.668203447
2024,3,Mexico,0.659565312
2024,4,Mexico,0.671377213
2024,5,Mexico,0.658776983
2024,6,Mexico,0.662107177
2024,7,Mexico,0.664530055
2024,8,Mexico,0.67460126
2024,9,Mexico,0.703741649
2024,10,Mexico,0.685112962
2024,11,Mexico,0.680961687
2024,12,Mexico,0.679716338
