month,year,country,economy_index_2015,unemployment_rate,inflation_index,total_pop_thousands,conexiones_moviles,numero_transacciones_digitales_millions,monto_transacciones_millions
10,2022,Chile,107.3854,7.888,96.271,19828.563,113.8525016,60.348295,8.759659248
11,2022,Chile,106.6163,7.962,97.3938,19828.563,112.9420574,64.633383,9.14447412
12,2022,Chile,106.7251,8.203,97.9613,19828.563,113.9825009,69.754511,9.930685578
1,2023,Chile,107.4931,8.305,98.4942,19960.889,113.0503606,61.530984,9.059386856
2,2023,Chile,107.0201,8.372,98.8534,19960.889,112.2064704,56.355838,8.256815996
3,2023,Chile,106.8212,8.501,99.3885,19960.889,113.3058052,66.874051,9.594234738
4,2023,Chile,107.056,8.653,99.5878,19960.889,112.4150132,62.399951,8.633873002
5,2023,Chile,107.3463,8.576,99.9643,19960.889,112.0666119,70.312738,9.555563856
6,2023,Chile,108.1649,8.395,99.9299,19960.889,112.5491956,67.051612,8.952911152
7,2023,Chile,108.3299,8.466,99.8879,19960.889,113.7813852,68.94123,9.173757137
8,2023,Chile,108.414,8.547,100.0655,19960.889,113.7460912,70.798802,9.219020075
9,2023,Chile,109.3704,8.727,100.4927,19960.889,113.961783,70.793349,8.962548592
10,2023,Chile,108.8263,8.741,100.5696,19960.889,114.4327289,74.606809,9.608460224
11,2023,Chile,108.4422,8.849,101.4671,19960.889,114.0005488,74.868207,9.585419887
12,2023,Chile,107.9127,8.955,101.2861,19960.889,113.5051851,80.865598,10.41313878
1,2024,Chile,109.8311,8.891,101.7137,20086.377,113.5175746,83.091919,11.08246183
2,2024,Chile,110.5237,8.755,102.3958,20086.377,113.483442,78.224724,10.51301816
3,2024,Chile,109.558,8.627,102.5782,20086.377,114.3504824,86.882337,11.31890709
4,2024,Chile,109.7417,8.523,103.0464,20086.377,113.9598395,87.613702,11.21095792
5,2024,Chile,108.7711,8.455,103.3705,20086.377,113.3875512,90.532547,11.32717238
6,2024,Chile,109.618,8.218,103.6954,20086.377,113.4977353,86.686331,10.73661037
7,2024,Chile,111.2178,8.329,104.293,20086.377,114.1104342,93.182214,11.49419114
8,2024,Chile,111.2146,8.506,104.6091,20086.377,115.1946914,94.517071,11.54771595
9,2024,Chile,110.7586,8.647,104.4963,20086.377,114.1512977,93.990038,11.26845332
10,2024,Chile,111.4937,8.567,105.3242,20086.377,115.2543239,96.900956,11.86473515
11,2024,Chile,111.5895,8.522,105.6866,20086.377,115.2536866,93.281595,11.44105109
12,2024,Chile,112.3696,8.394,105.8994,20086.377,115.6042227,100.773025,12.63311359
