country,year,month,fraud_cases,economy_index_2015,unemployment_rate,inflation_index,total_pop_thousands,conexiones_moviles,numero_transacciones_digitales_millions,monto_transacciones_millions,FRISK,ln_FRISK,std_ln_FRISK
Colombia,2018,9,12.0,107.12,10.0,76.1,47353.0,64.0,195.701298,1420.591534,0.02534158342660444,0.02502580919773267,-0.8257243697788968
Colombia,2018,10,10.0,107.25,10.2,76.3,47444.0,64.0,195.701298,1420.591534,0.021077480819492456,0.020858423491774736,-0.904197515390465
Colombia,2018,11,12.0,107.57,10.5,76.4,47537.0,64.0,195.701298,1420.591534,0.025243494541094307,0.024930140028343956,-0.8275258494569707
Colombia,2018,12,12.0,107.24,10.8,76.4,47631.0,64.0,195.701298,1420.591534,0.025193676387226804,0.024881547313986816,-0.8284408651090995
Colombia,2019,1,16.0,107.9,10.7,76.3,47726.0,65.0,250.544468,1687.154491,0.03352470351590328,0.03297500262702662,-0.6760386297285613
Colombia,2019,2,24.0,108.86,10.8,76.4,47823.0,65.0,250.544468,1687.154491,0.0501850573991594,0.0489663937821381,-0.3749158503197502
Colombia,2019,3,18.0,107.53,10.9,76.6,47917.0,65.0,250.544468,1687.154491,0.03756495606987082,0.036876579423017385,-0.602570747072828
Colombia,2019,4,8.0,108.97,10.8,76.8,48011.0,65.0,250.544468,1687.154491,0.01666284809731103,0.01652554597429886,-0.9857869223560524
Colombia,2019,5,23.0,110.03,10.8,77.3,48103.0,65.0,250.544468,1687.154491,0.047814065650791014,0.046706151886221035,-0.41747689552420314
Colombia,2019,6,28.0,108.87,10.2,77.5,48198.0,65.0,250.544468,1687.154491,0.058093696833893524,0.056468889849365565,-0.2336415580237302
Colombia,2019,7,50.0,110.47,11.0,77.7,48288.0,65.0,251.695379,1695.875248,0.1035453943008615,0.09852808252543993,0.5583458854365592
Colombia,2019,8,27.0,110.42,11.3,77.9,48377.0,65.0,251.695379,1695.875248,0.05581164603013829,0.0543098038732889,-0.2742978063633862
Colombia,2019,9,9.0,109.5,11.2,77.8,48463.0,65.0,251.695379,1695.875248,0.01857086849761674,0.018400535508652685,-0.9504802967804165
Colombia,2019,10,54.0,110.56,11.0,78.2,48549.0,65.0,251.695379,1695.875248,0.11122783167521473,0.10546555864831139,0.6889806796166502
Colombia,2019,11,36.0,110.09,11.0,78.5,48633.0,65.0,251.695379,1695.875248,0.07402381099253594,0.07141216622502532,0.04774489998148143
Colombia,2019,12,43.0,110.4,10.8,78.7,48714.0,65.0,251.695379,1695.875248,0.08827031243585007,0.08458956650543584,0.2958793717939183
Colombia,2020,1,26.0,111.62,11.1,78.9,48794.0,70.0,324.376016,1648.933508,0.05328523998852318,0.05191407964959803,-0.3194100251777088
